employer_key,employer_code,employer_name,company_type,industry,sector,hq_country,hq_state,hq_city,website,linkedin_company_url,size_bucket,sponsor_f1_flag,remote_friendly_flag,diversity_program_flag,talent_partner_flag,last_engagement_date,employer_rating,created_at,updated_at,products,slu_relation,logo_url
11,EMP0011,Company 11,Other,Finance,Nonprofit,USA,IL,Chicago,https://company11.com,https://linkedin.com/company/company11,1000+,1,1,0,0,2020-01-12,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
12,EMP0012,Company 12,Startup,Retail,Private,USA,CA,Mountain View,https://company12.com,https://linkedin.com/company/company12,1-49,0,0,1,1,2020-01-13,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
13,EMP0013,Company 13,SMB,Education,Public,USA,TX,Austin,https://company13.com,https://linkedin.com/company/company13,50-199,1,1,0,0,2020-01-14,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
14,EMP0014,Company 14,Enterprise,Manufacturing,Gov,USA,NY,New York,https://company14.com,https://linkedin.com/company/company14,200-999,0,0,0,0,2020-01-15,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
15,EMP0015,Company 15,Gov,Consulting,Nonprofit,USA,WA,Seattle,https://company15.com,https://linkedin.com/company/company15,1000+,1,1,1,0,2020-01-16,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
16,EMP0016,Company 16,Nonprofit,Media,Private,USA,MA,Boston,https://company16.com,https://linkedin.com/company/company16,1-49,0,0,0,1,2020-01-17,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
17,EMP0017,Company 17,Other,Aerospace,Public,USA,GA,Atlanta,https://company17.com,https://linkedin.com/company/company17,50-199,1,1,0,0,2020-01-18,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
18,EMP0018,Company 18,Startup,Technology,Gov,USA,AZ,Phoenix,https://company18.com,https://linkedin.com/company/company18,200-999,0,0,1,0,2020-01-19,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
19,EMP0019,Company 19,SMB,Healthcare,Nonprofit,USA,NC,Charlotte,https://company19.com,https://linkedin.com/company/company19,1000+,1,1,0,0,2020-01-20,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
20,EMP0020,Company 20,Enterprise,Finance,Private,USA,MO,St. Louis,https://company20.com,https://linkedin.com/company/company20,1-49,0,0,0,1,2020-01-21,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
21,EMP0021,Company 21,Gov,Retail,Public,USA,IL,Chicago,https://company21.com,https://linkedin.com/company/company21,50-199,1,1,1,0,2020-01-22,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
22,EMP0022,Company 22,Nonprofit,Education,Gov,USA,CA,Mountain View,https://company22.com,https://linkedin.com/company/company22,200-999,0,0,0,0,2020-01-23,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
23,EMP0023,Company 23,Other,Manufacturing,Nonprofit,USA,TX,Austin,https://company23.com,https://linkedin.com/company/company23,1000+,1,1,0,0,2020-01-24,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
24,EMP0024,Company 24,Startup,Consulting,Private,USA,NY,New York,https://company24.com,https://linkedin.com/company/company24,1-49,0,0,1,1,2020-01-25,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
25,EMP0025,Company 25,SMB,Media,Public,USA,WA,Seattle,https://company25.com,https://linkedin.com/company/company25,50-199,1,1,0,0,2020-01-26,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
26,EMP0026,Company 26,Enterprise,Aerospace,Gov,USA,MA,Boston,https://company26.com,https://linkedin.com/company/company26,200-999,0,0,0,0,2020-01-27,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
27,EMP0027,Company 27,Gov,Technology,Nonprofit,USA,GA,Atlanta,https://company27.com,https://linkedin.com/company/company27,1000+,1,1,1,0,2020-01-28,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
28,EMP0028,Company 28,Nonprofit,Healthcare,Private,USA,AZ,Phoenix,https://company28.com,https://linkedin.com/company/company28,1-49,0,0,0,1,2020-01-29,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
29,EMP0029,Company 29,Other,Finance,Public,USA,NC,Charlotte,https://company29.com,https://linkedin.com/company/company29,50-199,1,1,0,0,2020-01-30,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
30,EMP0030,Company 30,Startup,Retail,Gov,USA,MO,St. Louis,https://company30.com,https://linkedin.com/company/company30,200-999,0,0,1,0,2020-01-31,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
31,EMP0031,Company 31,SMB,Education,Nonprofit,USA,IL,Chicago,https://company31.com,https://linkedin.com/company/company31,1000+,1,1,0,0,2020-02-01,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
32,EMP0032,Company 32,Enterprise,Manufacturing,Private,USA,CA,Mountain View,https://company32.com,https://linkedin.com/company/company32,1-49,0,0,0,1,2020-02-02,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
33,EMP0033,Company 33,Gov,Consulting,Public,USA,TX,Austin,https://company33.com,https://linkedin.com/company/company33,50-199,1,1,1,0,2020-02-03,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
34,EMP0034,Company 34,Nonprofit,Media,Gov,USA,NY,New York,https://company34.com,https://linkedin.com/company/company34,200-999,0,0,0,0,2020-02-04,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
35,EMP0035,Company 35,Other,Aerospace,Nonprofit,USA,WA,Seattle,https://company35.com,https://linkedin.com/company/company35,1000+,1,1,0,0,2020-02-05,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
36,EMP0036,Company 36,Startup,Technology,Private,USA,MA,Boston,https://company36.com,https://linkedin.com/company/company36,1-49,0,0,1,1,2020-02-06,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
37,EMP0037,Company 37,SMB,Healthcare,Public,USA,GA,Atlanta,https://company37.com,https://linkedin.com/company/company37,50-199,1,1,0,0,2020-02-07,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
38,EMP0038,Company 38,Enterprise,Finance,Gov,USA,AZ,Phoenix,https://company38.com,https://linkedin.com/company/company38,200-999,0,0,0,0,2020-02-08,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
39,EMP0039,Company 39,Gov,Retail,Nonprofit,USA,NC,Charlotte,https://company39.com,https://linkedin.com/company/company39,1000+,1,1,1,0,2020-02-09,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
40,EMP0040,Company 40,Nonprofit,Education,Private,USA,MO,St. Louis,https://company40.com,https://linkedin.com/company/company40,1-49,0,0,0,1,2020-02-10,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
41,EMP0041,Company 41,Other,Manufacturing,Public,USA,IL,Chicago,https://company41.com,https://linkedin.com/company/company41,50-199,1,1,0,0,2020-02-11,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
42,EMP0042,Company 42,Startup,Consulting,Gov,USA,CA,Mountain View,https://company42.com,https://linkedin.com/company/company42,200-999,0,0,1,0,2020-02-12,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
43,EMP0043,Company 43,SMB,Media,Nonprofit,USA,TX,Austin,https://company43.com,https://linkedin.com/company/company43,1000+,1,1,0,0,2020-02-13,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
44,EMP0044,Company 44,Enterprise,Aerospace,Private,USA,NY,New York,https://company44.com,https://linkedin.com/company/company44,1-49,0,0,0,1,2020-02-14,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
45,EMP0045,Company 45,Gov,Technology,Public,USA,WA,Seattle,https://company45.com,https://linkedin.com/company/company45,50-199,1,1,1,0,2020-02-15,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
46,EMP0046,Company 46,Nonprofit,Healthcare,Gov,USA,MA,Boston,https://company46.com,https://linkedin.com/company/company46,200-999,0,0,0,0,2020-02-16,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
47,EMP0047,Company 47,Other,Finance,Nonprofit,USA,GA,Atlanta,https://company47.com,https://linkedin.com/company/company47,1000+,1,1,0,0,2020-02-17,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
48,EMP0048,Company 48,Startup,Retail,Private,USA,AZ,Phoenix,https://company48.com,https://linkedin.com/company/company48,1-49,0,0,1,1,2020-02-18,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
49,EMP0049,Company 49,SMB,Education,Public,USA,NC,Charlotte,https://company49.com,https://linkedin.com/company/company49,50-199,1,1,0,0,2020-02-19,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
50,EMP0050,Company 50,Enterprise,Manufacturing,Gov,USA,MO,St. Louis,https://company50.com,https://linkedin.com/company/company50,200-999,0,0,0,0,2020-02-20,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
51,EMP0051,Company 51,Gov,Consulting,Nonprofit,USA,IL,Chicago,https://company51.com,https://linkedin.com/company/company51,1000+,1,1,1,0,2020-02-21,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
52,EMP0052,Company 52,Nonprofit,Media,Private,USA,CA,Mountain View,https://company52.com,https://linkedin.com/company/company52,1-49,0,0,0,1,2020-02-22,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
53,EMP0053,Company 53,Other,Aerospace,Public,USA,TX,Austin,https://company53.com,https://linkedin.com/company/company53,50-199,1,1,0,0,2020-02-23,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
54,EMP0054,Company 54,Startup,Technology,Gov,USA,NY,New York,https://company54.com,https://linkedin.com/company/company54,200-999,0,0,1,0,2020-02-24,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
55,EMP0055,Company 55,SMB,Healthcare,Nonprofit,USA,WA,Seattle,https://company55.com,https://linkedin.com/company/company55,1000+,1,1,0,0,2020-02-25,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
56,EMP0056,Company 56,Enterprise,Finance,Private,USA,MA,Boston,https://company56.com,https://linkedin.com/company/company56,1-49,0,0,0,1,2020-02-26,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
57,EMP0057,Company 57,Gov,Retail,Public,USA,GA,Atlanta,https://company57.com,https://linkedin.com/company/company57,50-199,1,1,1,0,2020-02-27,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
58,EMP0058,Company 58,Nonprofit,Education,Gov,USA,AZ,Phoenix,https://company58.com,https://linkedin.com/company/company58,200-999,0,0,0,0,2020-02-28,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
59,EMP0059,Company 59,Other,Manufacturing,Nonprofit,USA,NC,Charlotte,https://company59.com,https://linkedin.com/company/company59,1000+,1,1,0,0,2020-02-29,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
60,EMP0060,Company 60,Startup,Consulting,Private,USA,MO,St. Louis,https://company60.com,https://linkedin.com/company/company60,1-49,0,0,1,1,2020-03-01,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
61,EMP0061,Company 61,SMB,Media,Public,USA,IL,Chicago,https://company61.com,https://linkedin.com/company/company61,50-199,1,1,0,0,2020-03-02,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
62,EMP0062,Company 62,Enterprise,Aerospace,Gov,USA,CA,Mountain View,https://company62.com,https://linkedin.com/company/company62,200-999,0,0,0,0,2020-03-03,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
63,EMP0063,Company 63,Gov,Technology,Nonprofit,USA,TX,Austin,https://company63.com,https://linkedin.com/company/company63,1000+,1,1,1,0,2020-03-04,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
64,EMP0064,Company 64,Nonprofit,Healthcare,Private,USA,NY,New York,https://company64.com,https://linkedin.com/company/company64,1-49,0,0,0,1,2020-03-05,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
65,EMP0065,Company 65,Other,Finance,Public,USA,WA,Seattle,https://company65.com,https://linkedin.com/company/company65,50-199,1,1,0,0,2020-03-06,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
66,EMP0066,Company 66,Startup,Retail,Gov,USA,MA,Boston,https://company66.com,https://linkedin.com/company/company66,200-999,0,0,1,0,2020-03-07,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
67,EMP0067,Company 67,SMB,Education,Nonprofit,USA,GA,Atlanta,https://company67.com,https://linkedin.com/company/company67,1000+,1,1,0,0,2020-03-08,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
68,EMP0068,Company 68,Enterprise,Manufacturing,Private,USA,AZ,Phoenix,https://company68.com,https://linkedin.com/company/company68,1-49,0,0,0,1,2020-03-09,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
69,EMP0069,Company 69,Gov,Consulting,Public,USA,NC,Charlotte,https://company69.com,https://linkedin.com/company/company69,50-199,1,1,1,0,2020-03-10,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
70,EMP0070,Company 70,Nonprofit,Media,Gov,USA,MO,St. Louis,https://company70.com,https://linkedin.com/company/company70,200-999,0,0,0,0,2020-03-11,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
71,EMP0071,Company 71,Other,Aerospace,Nonprofit,USA,IL,Chicago,https://company71.com,https://linkedin.com/company/company71,1000+,1,1,0,0,2020-03-12,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
72,EMP0072,Company 72,Startup,Technology,Private,USA,CA,Mountain View,https://company72.com,https://linkedin.com/company/company72,1-49,0,0,1,1,2020-03-13,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
73,EMP0073,Company 73,SMB,Healthcare,Public,USA,TX,Austin,https://company73.com,https://linkedin.com/company/company73,50-199,1,1,0,0,2020-03-14,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
74,EMP0074,Company 74,Enterprise,Finance,Gov,USA,NY,New York,https://company74.com,https://linkedin.com/company/company74,200-999,0,0,0,0,2020-03-15,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
75,EMP0075,Company 75,Gov,Retail,Nonprofit,USA,WA,Seattle,https://company75.com,https://linkedin.com/company/company75,1000+,1,1,1,0,2020-03-16,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
76,EMP0076,Company 76,Nonprofit,Education,Private,USA,MA,Boston,https://company76.com,https://linkedin.com/company/company76,1-49,0,0,0,1,2020-03-17,7,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
77,EMP0077,Company 77,Other,Manufacturing,Public,USA,GA,Atlanta,https://company77.com,https://linkedin.com/company/company77,50-199,1,1,0,0,2020-03-18,8,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
78,EMP0078,Company 78,Startup,Consulting,Gov,USA,AZ,Phoenix,https://company78.com,https://linkedin.com/company/company78,200-999,0,0,1,0,2020-03-19,9,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
79,EMP0079,Company 79,SMB,Media,Nonprofit,USA,NC,Charlotte,https://company79.com,https://linkedin.com/company/company79,1000+,1,1,0,0,2020-03-20,10,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
80,EMP0080,Company 80,Enterprise,Aerospace,Private,USA,MO,St. Louis,https://company80.com,https://linkedin.com/company/company80,1-49,0,0,0,1,2020-03-21,6,2025-11-07 07:53:54,2025-11-07 07:53:54,,,
