fact_id,student_key,employer_key,contact_key,event_key,event_date_key,hire_date_key,alumni_employee_id_at_employer,participated_university_event_flag,participated_outside_event_flag,alumni_event_flag,applications_submitted,interviews_count,job_offers_count,hired_flag,donations_amount,mentorship_hours,referrals_made,engagement_score,job_role
66,66,66,66,66,20200306,20200310,EMP-00066-00066,1,0,0,1,2,1,1,50.67,5.0,0,1.40,"Statistics Engineer"
67,67,67,67,67,20200307,20200311,EMP-00067-00067,0,1,0,3,3,0,0,51.33,5.8,1,1.30,HR
68,68,68,68,68,20200308,20200312,EMP-00068-00068,0,0,1,5,0,0,0,52.00,6.7,2,3.00,"Business Analyst"
69,69,69,69,69,20200309,20200313,EMP-00069-00069,1,0,0,4,1,0,0,52.67,7.5,0,3.10,"Scrum Master"
70,70,70,70,70,20200310,20200314,EMP-00070-00070,0,1,0,1,2,1,1,53.33,8.3,1,3.00,"Test Engineer"
71,71,71,71,71,20200311,20200315,EMP-00071-00071,0,0,1,3,3,1,1,54.00,9.2,2,4.70,"Data Test Engineer"
72,72,72,72,72,20200312,20200316,EMP-00072-00072,1,0,0,2,0,0,0,54.67,0.0,0,0.80,"Project Manager"
73,73,73,73,73,20200313,20200317,EMP-00073-00073,0,1,0,4,1,0,0,55.33,0.8,1,1.70,"Data Analyst"
74,74,74,74,74,20200314,20200318,EMP-00074-00074,0,0,1,6,2,0,0,56.00,1.7,2,3.40,"Data Engineer"
75,75,75,75,75,20200315,20200319,EMP-00075-00075,1,0,0,0,3,1,1,56.67,2.5,0,2.50,"AI Engineer"
76,76,76,76,76,20200316,20200320,EMP-00076-00076,0,1,0,2,0,1,1,57.33,3.3,1,3.40,"ML Engineer"
77,77,77,77,77,20200317,20200321,EMP-00077-00077,0,0,1,4,1,1,0,58.00,4.2,2,4.10,"Data Scientist"
78,78,78,78,78,20200318,20200322,EMP-00078-00078,1,0,0,3,2,0,0,58.67,5.0,0,1.20,"Data Specialist"
79,79,79,79,79,20200319,20200323,EMP-00079-00079,0,1,0,5,3,0,0,59.33,5.8,1,2.10,"SecOps Engineer"
80,80,80,80,80,20200320,20200324,EMP-00080-00080,0,0,1,2,0,1,1,60.00,6.7,2,2.80,"Security Engineer"
81,81,81,81,81,20200321,20200325,EMP-00081-00081,1,0,0,1,1,1,1,60.67,7.5,0,2.90,"IAM Engineer"
82,82,82,82,82,20200322,20200326,EMP-00082-00082,0,1,0,3,2,0,0,61.33,8.3,1,2.80,"Cyber Professional"
83,83,83,83,83,20200323,20200327,EMP-00083-00083,0,0,1,5,3,0,0,62.00,9.2,2,4.50,SDET
84,84,84,84,84,20200324,20200328,EMP-00084-00084,1,0,0,4,0,1,0,62.67,0.0,0,1.60,"Software Test Engineer"
85,85,85,85,85,20200325,20200329,EMP-00085-00085,0,1,0,1,1,1,1,63.33,0.8,1,1.50,"Software Developer"
86,86,86,86,86,20200326,20200330,EMP-00086-00086,0,0,1,3,2,1,1,64.00,1.7,2,3.20,"Full Stack Developer"
87,87,87,87,87,20200327,20200331,EMP-00087-00087,1,0,0,2,3,0,0,64.67,2.5,0,2.30,"Java Developer"
88,88,88,88,88,20200328,20200401,EMP-00088-00088,0,1,0,4,0,0,0,65.33,3.3,1,3.20,"Python Developer"
89,89,89,89,89,20200329,20200402,EMP-00089-00089,0,0,1,6,1,0,0,66.00,4.2,2,4.90,"Power BI Developer"
90,90,90,90,90,20200330,20200403,EMP-00090-00090,1,0,0,0,2,1,1,66.67,5.0,0,1.00,"Statistics Engineer"
91,91,91,91,91,20200331,20200404,EMP-00091-00091,0,1,0,2,3,1,1,67.33,5.8,1,1.90,HR
92,92,92,92,92,20200401,20200405,EMP-00092-00092,0,0,1,4,0,0,0,68.00,6.7,2,2.60,"Business Analyst"
93,93,93,93,93,20200402,20200406,EMP-00093-00093,1,0,0,3,1,0,0,68.67,7.5,0,2.70,"Scrum Master"
94,94,94,94,94,20200403,20200407,EMP-00094-00094,0,1,0,5,2,0,0,69.33,8.3,1,3.60,"Test Engineer"
95,95,95,95,95,20200404,20200408,EMP-00095-00095,0,0,1,2,3,1,1,70.00,9.2,2,4.30,"Data Test Engineer"
96,96,96,96,96,20200405,20200409,EMP-00096-00096,1,0,0,1,0,1,1,70.67,0.0,0,1.40,"Project Manager"
97,97,97,97,97,20200406,20200410,EMP-00097-00097,0,1,0,3,1,0,0,71.33,0.8,1,1.30,"Data Analyst"
98,98,98,98,98,20200407,20200411,EMP-00098-00098,0,0,1,5,2,1,0,72.00,1.7,2,3.00,"Data Engineer"
99,99,99,99,99,20200408,20200412,EMP-00099-00099,1,0,0,4,3,0,0,72.67,2.5,0,3.10,"AI Engineer"
100,100,100,100,100,20200409,20200413,EMP-00100-00100,0,1,0,1,0,1,1,73.33,3.3,1,3.00,"ML Engineer"
101,101,101,101,101,20200410,20200414,EMP-00101-00101,0,0,1,3,1,1,1,74.00,4.2,2,4.70,"Data Scientist"
102,102,102,102,102,20200411,20200415,EMP-00102-00102,1,0,0,2,2,0,0,74.67,5.0,0,0.80,"Data Specialist"
103,103,103,103,103,20200412,20200416,EMP-00103-00103,0,1,0,4,3,0,0,75.33,5.8,1,1.70,"SecOps Engineer"
104,104,104,104,104,20200413,20200417,EMP-00104-00104,0,0,1,6,0,0,0,76.00,6.7,2,3.40,"Security Engineer"
105,105,105,105,105,20200414,20200418,EMP-00105-00105,1,0,0,0,1,1,1,76.67,7.5,0,2.50,"IAM Engineer"
106,106,106,106,106,20200415,20200419,EMP-00106-00106,0,1,0,2,2,1,1,77.33,8.3,1,3.40,"Cyber Professional"
107,107,107,107,107,20200416,20200420,EMP-00107-00107,0,0,1,4,3,0,0,78.00,9.2,2,4.10,SDET
108,108,108,108,108,20200417,20200421,EMP-00108-00108,1,0,0,3,0,0,0,78.67,0.0,0,1.20,"Software Test Engineer"
109,109,109,109,109,20200418,20200422,EMP-00109-00109,0,1,0,5,1,0,0,79.33,0.8,1,2.10,"Software Developer"
110,110,110,110,110,20200419,20200423,EMP-00110-00110,0,0,1,2,2,1,1,80.00,1.7,2,2.80,"Full Stack Developer"
111,111,111,111,111,20200420,20200424,EMP-00111-00111,1,0,0,1,3,1,1,80.67,2.5,0,2.90,"Java Developer"
112,112,112,112,112,20200421,20200425,EMP-00112-00112,0,1,0,3,0,1,0,81.33,3.3,1,2.80,"Python Developer"
113,113,113,113,113,20200422,20200426,EMP-00113-00113,0,0,1,5,1,0,0,82.00,4.2,2,4.50,"Power BI Developer"
114,114,114,114,114,20200423,20200427,EMP-00114-00114,1,0,0,4,2,0,0,82.67,5.0,0,1.60,"Statistics Engineer"
115,115,115,115,115,20200424,20200428,EMP-00115-00115,0,1,0,1,3,1,1,83.33,5.8,1,1.50,HR
116,116,116,116,116,20200425,20200429,EMP-00116-00116,0,0,1,3,0,1,1,84.00,6.7,2,3.20,"Business Analyst"
117,117,117,117,117,20200426,20200430,EMP-00117-00117,1,0,0,2,1,0,0,84.67,7.5,0,2.30,"Scrum Master"
118,118,118,118,118,20200427,20200501,EMP-00118-00118,0,1,0,4,2,0,0,85.33,8.3,1,3.20,"Test Engineer"
119,119,119,119,119,20200428,20200502,EMP-00119-00119,0,0,1,6,3,1,0,86.00,9.2,2,4.90,"Data Test Engineer"
120,120,120,120,120,20200429,20200503,EMP-00120-00120,1,0,0,0,0,1,1,86.67,0.0,0,1.00,"Project Manager"
121,121,121,121,121,20200430,20200504,EMP-00121-00121,0,1,0,2,1,1,1,87.33,0.8,1,1.90,"Data Analyst"
122,122,122,122,122,20200501,20200505,EMP-00122-00122,0,0,1,4,2,0,0,88.00,1.7,2,2.60,"Data Engineer"
123,123,123,123,123,20200502,20200506,EMP-00123-00123,1,0,0,3,3,0,0,88.67,2.5,0,2.70,"AI Engineer"
124,124,124,124,124,20200503,20200507,EMP-00124-00124,0,1,0,5,0,0,0,89.33,3.3,1,3.60,"ML Engineer"
125,125,125,125,125,20200504,20200508,EMP-00125-00125,0,0,1,2,1,1,1,90.00,4.2,2,4.30,"Data Scientist"
126,126,126,126,126,20200505,20200509,EMP-00126-00126,1,0,0,1,2,1,1,90.67,5.0,0,1.40,"Data Specialist"
127,127,127,127,127,20200506,20200510,EMP-00127-00127,0,1,0,3,3,0,0,91.33,5.8,1,1.30,"SecOps Engineer"
128,128,128,128,128,20200507,20200511,EMP-00128-00128,0,0,1,5,0,0,0,92.00,6.7,2,3.00,"Security Engineer"
129,129,129,129,129,20200508,20200512,EMP-00129-00129,1,0,0,4,1,0,0,92.67,7.5,0,3.10,"IAM Engineer"
130,130,130,130,130,20200509,20200513,EMP-00130-00130,0,1,0,1,2,1,1,93.33,8.3,1,3.00,"Cyber Professional"
131,131,131,131,131,20200510,20200514,EMP-00131-00131,0,0,1,3,3,1,1,94.00,9.2,2,4.70,SDET
132,132,132,132,132,20200511,20200515,EMP-00132-00132,1,0,0,2,0,0,0,94.67,0.0,0,0.80,"Software Test Engineer"
133,133,133,133,133,20200512,20200516,EMP-00133-00133,0,1,0,4,1,1,0,95.33,0.8,1,1.70,"Software Developer"
134,134,134,134,134,20200513,20200517,EMP-00134-00134,0,0,1,6,2,0,0,96.00,1.7,2,3.40,"Full Stack Developer"
135,135,135,135,135,20200514,20200518,EMP-00135-00135,1,0,0,0,3,1,1,96.67,2.5,0,2.50,"Java Developer"
136,136,136,136,136,20200515,20200519,EMP-00136-00136,0,1,0,2,0,1,1,97.33,3.3,1,3.40,"Python Developer"
137,137,137,137,137,20200516,20200520,EMP-00137-00137,0,0,1,4,1,0,0,98.00,4.2,2,4.10,"Power BI Developer"
138,138,138,138,138,20200517,20200521,EMP-00138-00138,1,0,0,3,2,0,0,98.67,5.0,0,1.20,"Statistics Engineer"
139,139,139,139,139,20200518,20200522,EMP-00139-00139,0,1,0,5,3,0,0,99.33,5.8,1,2.10,HR
140,140,140,140,140,20200519,20200523,EMP-00140-00140,0,0,1,2,0,1,1,100.00,6.7,2,2.80,"Business Analyst"
141,141,141,141,141,20200520,20200524,EMP-00141-00141,1,0,0,1,1,1,1,100.67,7.5,0,2.90,"Scrum Master"
142,142,142,142,142,20200521,20200525,EMP-00142-00142,0,1,0,3,2,0,0,101.33,8.3,1,2.80,"Test Engineer"
143,143,143,143,143,20200522,20200526,EMP-00143-00143,0,0,1,5,3,0,0,102.00,9.2,2,4.50,"Data Test Engineer"
144,144,144,144,144,20200523,20200527,EMP-00144-00144,1,0,0,4,0,0,0,102.67,0.0,0,1.60,"Project Manager"
145,145,145,145,145,20200524,20200528,EMP-00145-00145,0,1,0,1,1,1,1,103.33,0.8,1,1.50,"Data Analyst"
146,146,146,146,146,20200525,20200529,EMP-00146-00146,0,0,1,3,2,1,1,104.00,1.7,2,3.20,"Data Engineer"
147,147,147,147,147,20200526,20200530,EMP-00147-00147,1,0,0,2,3,1,0,104.67,2.5,0,2.30,"AI Engineer"
148,148,148,148,148,20200527,20200531,EMP-00148-00148,0,1,0,4,0,0,0,105.33,3.3,1,3.20,"ML Engineer"
149,149,149,149,149,20200528,20200601,EMP-00149-00149,0,0,1,6,1,0,0,106.00,4.2,2,4.90,"Data Scientist"
150,150,150,150,150,20200529,20200602,EMP-00150-00150,1,0,0,0,2,1,1,106.67,5.0,0,1.00,"Data Specialist"
151,151,151,151,151,20200530,20200603,EMP-00151-00151,0,1,0,2,3,1,1,107.33,5.8,1,1.90,"SecOps Engineer"
152,152,152,152,152,20200531,20200604,EMP-00152-00152,0,0,1,4,0,0,0,108.00,6.7,2,2.60,"Security Engineer"
153,153,153,153,153,20200601,20200605,EMP-00153-00153,1,0,0,3,1,0,0,108.67,7.5,0,2.70,"IAM Engineer"
154,154,154,154,154,20200602,20200606,EMP-00154-00154,0,1,0,5,2,1,0,109.33,8.3,1,3.60,"Cyber Professional"
155,155,155,155,155,20200603,20200607,EMP-00155-00155,0,0,1,2,3,1,1,110.00,9.2,2,4.30,SDET
156,156,156,156,156,20200604,20200608,EMP-00156-00156,1,0,0,1,0,1,1,110.67,0.0,0,1.40,"Software Test Engineer"
157,157,157,157,157,20200605,20200609,EMP-00157-00157,0,1,0,3,1,0,0,111.33,0.8,1,1.30,"Software Developer"
158,158,158,158,158,20200606,20200610,EMP-00158-00158,0,0,1,5,2,0,0,112.00,1.7,2,3.00,"Full Stack Developer"
159,159,159,159,159,20200607,20200611,EMP-00159-00159,1,0,0,4,3,0,0,112.67,2.5,0,3.10,"Java Developer"
160,160,160,160,160,20200608,20200612,EMP-00160-00160,0,1,0,1,0,1,1,113.33,3.3,1,3.00,"Python Developer"
161,161,161,161,161,20200609,20200613,EMP-00161-00161,0,0,1,3,1,1,1,114.00,4.2,2,4.70,"Power BI Developer"
162,162,162,162,162,20200610,20200614,EMP-00162-00162,1,0,0,2,2,0,0,114.67,5.0,0,0.80,"Statistics Engineer"
163,163,163,163,163,20200611,20200615,EMP-00163-00163,0,1,0,4,3,0,0,115.33,5.8,1,1.70,HR
164,164,164,164,164,20200612,20200616,EMP-00164-00164,0,0,1,6,0,0,0,116.00,6.7,2,3.40,"Business Analyst"
165,165,165,165,165,20200613,20200617,EMP-00165-00165,1,0,0,0,1,1,1,116.67,7.5,0,2.50,"Scrum Master"
166,166,166,166,166,20200614,20200618,EMP-00166-00166,0,1,0,2,2,1,1,117.33,8.3,1,3.40,"Test Engineer"
167,167,167,167,167,20200615,20200619,EMP-00167-00167,0,0,1,4,3,0,0,118.00,9.2,2,4.10,"Data Test Engineer"
168,168,168,168,168,20200616,20200620,EMP-00168-00168,1,0,0,3,0,1,0,118.67,0.0,0,1.20,"Project Manager"
169,169,169,169,169,20200617,20200621,EMP-00169-00169,0,1,0,5,1,0,0,119.33,0.8,1,2.10,"Data Analyst"
170,170,170,170,170,20200618,20200622,EMP-00170-00170,0,0,1,2,2,1,1,120.00,1.7,2,2.80,"Data Engineer"
171,171,171,171,171,20200619,20200623,EMP-00171-00171,1,0,0,1,3,1,1,120.67,2.5,0,2.90,"AI Engineer"
172,172,172,172,172,20200620,20200624,EMP-00172-00172,0,1,0,3,0,0,0,121.33,3.3,1,2.80,"ML Engineer"
173,173,173,173,173,20200621,20200625,EMP-00173-00173,0,0,1,5,1,0,0,122.00,4.2,2,4.50,"Data Scientist"
174,174,174,174,174,20200622,20200626,EMP-00174-00174,1,0,0,4,2,0,0,122.67,5.0,0,1.60,"Data Specialist"
175,175,175,175,175,20200623,20200627,EMP-00175-00175,0,1,0,1,3,1,1,123.33,5.8,1,1.50,"SecOps Engineer"
176,176,176,176,176,20200624,20200628,EMP-00176-00176,0,0,1,3,0,1,1,124.00,6.7,2,3.20,"Security Engineer"
177,177,177,177,177,20200625,20200629,EMP-00177-00177,1,0,0,2,1,0,0,124.67,7.5,0,2.30,"IAM Engineer"
178,178,178,178,178,20200626,20200630,EMP-00178-00178,0,1,0,4,2,0,0,125.33,8.3,1,3.20,"Cyber Professional"
179,179,179,179,179,20200627,20200701,EMP-00179-00179,0,0,1,6,3,0,0,126.00,9.2,2,4.90,SDET
180,180,180,180,180,20200628,20200702,EMP-00180-00180,1,0,0,0,0,1,1,126.67,0.0,0,1.00,"Software Test Engineer"
181,181,181,181,181,20200629,20200703,EMP-00181-00181,0,1,0,2,1,1,1,127.33,0.8,1,1.90,"Software Developer"
182,182,182,182,182,20200630,20200704,EMP-00182-00182,0,0,1,4,2,1,0,128.00,1.7,2,2.60,"Full Stack Developer"
183,183,183,183,183,20200701,20200705,EMP-00183-00183,1,0,0,3,3,0,0,128.67,2.5,0,2.70,"Java Developer"
184,184,184,184,184,20200702,20200706,EMP-00184-00184,0,1,0,5,0,0,0,129.33,3.3,1,3.60,"Python Developer"
185,185,185,185,185,20200703,20200707,EMP-00185-00185,0,0,1,2,1,1,1,130.00,4.2,2,4.30,"Power BI Developer"
186,186,186,186,186,20200704,20200708,EMP-00186-00186,1,0,0,1,2,1,1,130.67,5.0,0,1.40,"Statistics Engineer"
187,187,187,187,187,20200705,20200709,EMP-00187-00187,0,1,0,3,3,0,0,131.33,5.8,1,1.30,HR
188,188,188,188,188,20200706,20200710,EMP-00188-00188,0,0,1,5,0,0,0,132.00,6.7,2,3.00,"Business Analyst"
189,189,189,189,189,20200707,20200711,EMP-00189-00189,1,0,0,4,1,1,0,132.67,7.5,0,3.10,"Scrum Master"
190,190,190,190,190,20200708,20200712,EMP-00190-00190,0,1,0,1,2,1,1,133.33,8.3,1,3.00,"Test Engineer"
191,191,191,191,191,20200709,20200713,EMP-00191-00191,0,0,1,3,3,1,1,134.00,9.2,2,4.70,"Data Test Engineer"
192,192,192,192,192,20200710,20200714,EMP-00192-00192,1,0,0,2,0,0,0,134.67,0.0,0,0.80,"Project Manager"
193,193,193,193,193,20200711,20200715,EMP-00193-00193,0,1,0,4,1,0,0,135.33,0.8,1,1.70,"Data Analyst"
194,194,194,194,194,20200712,20200716,EMP-00194-00194,0,0,1,6,2,0,0,136.00,1.7,2,3.40,"Data Engineer"
195,195,195,195,195,20200713,20200717,EMP-00195-00195,1,0,0,0,3,1,1,136.67,2.5,0,2.50,"AI Engineer"
196,196,196,196,196,20200714,20200718,EMP-00196-00196,0,1,0,2,0,1,1,137.33,3.3,1,3.40,"ML Engineer"
197,197,197,197,197,20200715,20200719,EMP-00197-00197,0,0,1,4,1,0,0,138.00,4.2,2,4.10,"Data Scientist"
198,198,198,198,198,20200716,20200720,EMP-00198-00198,1,0,0,3,2,0,0,138.67,5.0,0,1.20,"Data Specialist"
199,199,199,199,199,20200717,20200721,EMP-00199-00199,0,1,0,5,3,0,0,139.33,5.8,1,2.10,"SecOps Engineer"
200,200,200,200,200,20200718,20200722,EMP-00200-00200,0,0,1,2,0,1,1,6.67,6.7,2,2.80,"Security Engineer"
201,201,201,201,201,20200719,20200723,EMP-00201-00201,1,0,0,1,1,1,1,7.33,7.5,0,2.90,"IAM Engineer"
202,202,202,202,202,20200720,20200724,EMP-00202-00202,0,1,0,3,2,0,0,8.00,8.3,1,2.80,"Cyber Professional"
203,203,203,203,203,20200721,20200725,EMP-00203-00203,0,0,1,5,3,1,0,8.67,9.2,2,4.50,SDET
204,204,204,204,204,20200722,20200726,EMP-00204-00204,1,0,0,4,0,0,0,9.33,0.0,0,1.60,"Software Test Engineer"
205,205,205,205,205,20200723,20200727,EMP-00205-00205,0,1,0,1,1,1,1,10.00,0.8,1,1.50,"Software Developer"
206,206,206,206,206,20200724,20200728,EMP-00206-00206,0,0,1,3,2,1,1,10.67,1.7,2,3.20,"Full Stack Developer"
207,207,207,207,207,20200725,20200729,EMP-00207-00207,1,0,0,2,3,0,0,11.33,2.5,0,2.30,"Java Developer"
208,208,208,208,208,20200726,20200730,EMP-00208-00208,0,1,0,4,0,0,0,12.00,3.3,1,3.20,"Python Developer"
209,209,209,209,209,20200727,20200731,EMP-00209-00209,0,0,1,6,1,0,0,12.67,4.2,2,4.90,"Power BI Developer"
210,210,210,210,210,20200728,20200801,EMP-00210-00210,1,0,0,0,2,1,1,13.33,5.0,0,1.00,"Statistics Engineer"
211,211,211,211,211,20200729,20200802,EMP-00211-00211,0,1,0,2,3,1,1,14.00,5.8,1,1.90,HR
